Product,Seller,SubscriptionType,Incentive,Date
Product C,Seller 1,New,157,2024-11-21
Product B,Seller 1,New,158,2024-11-25
Product B,Seller 2,New,88,2024-08-14
Product A,Seller 2,New,106,2024-12-13
Product C,Seller 2,Renewal,33,2024-03-12
Product C,Seller 3,New,142,2024-03-30
Product B,Seller 1,Renewal,21,2024-04-29
Product B,Seller 2,New,119,2024-09-06
Product A,Seller 3,New,170,2025-01-26
Product A,Seller 2,Renewal,42,2025-01-10
Product A,Seller 1,Renewal,44,2024-09-25
Product B,Seller 2,New,105,2024-04-28
Product B,Seller 3,Renewal,47,2024-07-03
Product B,Seller 2,New,99,2024-07-23
Product B,Seller 2,Renewal,65,2024-09-24
Product B,Seller 3,Renewal,78,2025-01-20
Product B,Seller 1,Renewal,93,2024-03-20
Product A,Seller 2,New,77,2024-12-16
Product A,Seller 3,Renewal,85,2025-01-27
Product B,Seller 3,Renewal,85,2024-05-17
Product C,Seller 2,Renewal,82,2024-03-23
Product A,Seller 3,New,164,2024-03-01
Product B,Seller 1,Renewal,25,2024-09-23
Product C,Seller 3,New,151,2024-02-20
Product A,Seller 2,Renewal,76,2024-06-26
Product B,Seller 2,Renewal,59,2024-02-28
Product A,Seller 1,New,183,2024-07-26
Product A,Seller 1,New,97,2024-06-20
Product C,Seller 3,Renewal,46,2024-10-06
Product C,Seller 2,New,66,2024-06-16
Product A,Seller 1,Renewal,65,2025-02-05
Product C,Seller 1,Renewal,50,2024-02-14
Product A,Seller 2,New,160,2024-10-07
Product B,Seller 3,New,170,2025-02-09
Product C,Seller 2,New,151,2024-08-27
Product B,Seller 3,Renewal,38,2024-10-14
Product A,Seller 3,New,80,2025-01-24
Product A,Seller 3,New,163,2025-01-01
Product B,Seller 2,New,200,2024-06-30
Product C,Seller 1,New,161,2024-04-10
Product A,Seller 2,New,128,2024-11-03
Product C,Seller 1,New,56,2024-11-29
Product B,Seller 1,Renewal,53,2024-07-12
Product C,Seller 2,New,52,2025-01-16
Product A,Seller 1,New,161,2024-06-01
Product A,Seller 2,Renewal,31,2024-05-01
Product B,Seller 3,Renewal,46,2024-09-10
Product B,Seller 3,Renewal,94,2024-10-22
Product A,Seller 1,Renewal,88,2024-09-14
Product B,Seller 3,New,87,2024-04-19
Product B,Seller 2,New,79,2024-04-27
Product C,Seller 3,Renewal,22,2025-02-04
Product B,Seller 1,Renewal,61,2024-09-28
Product A,Seller 1,Renewal,55,2024-12-08
Product A,Seller 2,Renewal,57,2024-09-20
Product B,Seller 2,Renewal,38,2024-12-28
Product C,Seller 1,New,67,2024-07-25
Product B,Seller 2,New,159,2024-04-17
Product B,Seller 2,Renewal,39,2024-05-30
Product A,Seller 1,Renewal,77,2024-09-22
Product C,Seller 2,New,125,2024-08-28
Product A,Seller 2,Renewal,60,2024-09-24
Product A,Seller 1,Renewal,91,2024-04-21
Product A,Seller 3,Renewal,89,2024-03-14
Product A,Seller 2,Renewal,59,2025-01-31
Product C,Seller 1,Renewal,65,2024-03-24
Product A,Seller 3,Renewal,32,2024-06-16
Product B,Seller 1,New,143,2024-07-28
Product B,Seller 3,Renewal,42,2024-05-04
Product C,Seller 3,Renewal,75,2024-11-30
Product C,Seller 1,Renewal,31,2024-11-08
Product C,Seller 3,Renewal,58,2024-10-21
Product C,Seller 2,New,146,2024-04-22
Product C,Seller 1,Renewal,50,2024-11-20
Product A,Seller 3,New,91,2024-02-13
Product C,Seller 3,Renewal,86,2024-12-01
Product C,Seller 1,Renewal,78,2024-11-28
Product C,Seller 1,Renewal,51,2024-11-12
Product C,Seller 2,New,186,2024-07-24
Product A,Seller 2,Renewal,58,2024-12-28
Product C,Seller 1,Renewal,79,2024-07-12
Product A,Seller 3,Renewal,86,2024-07-13
Product A,Seller 3,Renewal,99,2024-12-14
Product C,Seller 2,New,98,2024-11-11
Product C,Seller 3,New,185,2024-11-11
Product B,Seller 3,Renewal,71,2024-09-01
Product C,Seller 2,Renewal,99,2024-11-20
Product B,Seller 1,Renewal,42,2024-05-16
Product C,Seller 3,Renewal,81,2024-07-04
Product B,Seller 2,New,123,2024-06-13
Product B,Seller 2,New,78,2024-11-18
Product C,Seller 1,Renewal,62,2025-01-29
Product B,Seller 2,New,94,2024-03-22
Product B,Seller 2,Renewal,31,2024-06-08
Product C,Seller 2,Renewal,59,2025-02-04
Product B,Seller 3,Renewal,72,2024-12-14
Product B,Seller 2,New,145,2024-06-16
Product B,Seller 2,New,166,2024-09-25
Product A,Seller 2,New,198,2024-11-01
Product C,Seller 1,New,185,2024-12-09
